repo_id,seq_index,sha,author_time_iso,minutes_since_prev_commit,minutes_since_t0,insertions,deletions,files_changed,is_merge,is_before_t0,is_during_event,is_after_t1,flag_bulk_commit,subject
EntyG-BaeFit,0,dfe1095333ba728f0e60a52e0ea635fab1a331b1,2025-11-29T06:41:51+00:00,,41.85,0,0,1,0,0,1,0,0,first commit
EntyG-BaeFit,1,8f5f826f978fcc77b45f49580f8a3dfdb165caad,2025-11-29T06:42:07+00:00,0.27,42.12,0,0,1,0,0,1,0,0,Update README.md
EntyG-BaeFit,2,9879b364c086dec1af507b743feb895be254f9fd,2025-11-29T07:05:05+00:00,22.97,65.08,0,0,1,0,0,1,0,0,init
EntyG-BaeFit,3,c50e545d7c532d00d66763a752f79adb4c59a45b,2025-11-29T07:06:15+00:00,1.17,66.25,3541,0,13,0,0,1,0,1,init
EntyG-BaeFit,4,fc7e39f1547b147ee07ef474d0ad0f25795f80b7,2025-11-29T07:06:27+00:00,0.20,66.45,253773,269,1892,1,0,1,0,1,Merge branch 'main' of https://github.com/EntyG/BaeFit
EntyG-BaeFit,5,1e5680de79cd88b77597bf8522394abefd506670,2025-11-29T09:20:25+00:00,133.97,200.42,1163,66,8,0,0,1,0,1,Gay
EntyG-BaeFit,6,a859e0822905f4962532204e650f0c1ccbd91b5a,2025-11-29T09:24:52+00:00,4.45,204.87,18,3,4,0,0,1,0,0,asdd
EntyG-BaeFit,7,fd1ef808f57f4409a2f0d702530fe7d3e1227d96,2025-11-29T09:46:20+00:00,21.47,226.33,1067,369,5,0,0,1,0,1,123
EntyG-BaeFit,8,a0122a400b647c4aed6b3e3e6177495639677d1e,2025-11-29T10:18:23+00:00,32.05,258.38,401,195,19,0,0,1,0,0,ft: update
EntyG-BaeFit,9,3bfb9ecdf72aade6a440edfb25668a00f61ea46b,2025-11-29T10:44:41+00:00,26.30,284.68,405,53,4,0,0,1,0,0,Final Version
